CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100)
124,Male,39,69,91
126,Female,31,70,77
128,Male,40,71,95
130,Male,38,71,75
132,Male,39,71,75
134,Female,31,72,71
136,Female,29,73,88
138,Male,32,73,73
140,Female,35,74,72
142,Male,32,75,93
144,Female,32,76,87
146,Male,28,77,97
148,Female,32,77,74
150,Male,34,78,90
152,Male,39,78,88
154,Female,38,78,76
156,Female,27,78,89
158,Female,30,78,78
160,Female,30,78,73
162,Female,29,79,83
164,Female,31,81,93
166,Female,36,85,75
168,Female,33,86,95
170,Male,32,87,63
172,Male,28,87,75
174,Male,36,87,92
176,Female,30,88,86
178,Male,27,88,69
180,Male,35,93,90
182,Female,32,97,86
184,Female,29,98,88
186,Male,30,99,97
188,Male,28,101,68
190,Female,36,103,85
192,Female,32,103,69
194,Female,38,113,91
196,Female,35,120,79
198,Male,32,126,74
200,Male,30,137,83
